         259169 function calls (254411 primitive calls) in 3.619 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 __init__.py:241(add_constructor)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.001    0.001 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:276(YAMLObjectMetaclass)
       13    0.000    0.000    0.000    0.000 __init__.py:280(__init__)
        2    0.000    0.000    0.008    0.004 __init__.py:283(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:286(YAMLObject)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:34(Client)
        1    0.000    0.000    0.000    0.000 __init__.py:346(Formatter)
        3    0.001    0.000    0.001    0.000 __init__.py:349(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        4    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        1    0.006    0.006    0.015    0.015 __init__.py:38(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        1    0.005    0.005    0.008    0.008 __init__.py:4(<module>)
        2    0.013    0.006    0.349    0.174 __init__.py:42(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        2    0.013    0.006    0.095    0.048 __init__.py:44(<module>)
        1    0.003    0.003    0.018    0.018 __init__.py:45(<module>)
        1    0.004    0.004    0.030    0.030 __init__.py:48(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.007    0.007    0.028    0.028 __init__.py:53(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:536(Filter)
        1    0.021    0.021    0.101    0.101 __init__.py:54(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:573(Filterer)
        9    0.000    0.000    0.000    0.000 __init__.py:578(__init__)
        1    0.002    0.002    0.022    0.022 __init__.py:6(<module>)
        1    0.001    0.001    0.106    0.106 __init__.py:60(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:635(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:645(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:654(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:7(CertificateError)
        3    0.000    0.000    0.021    0.007 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        2    0.002    0.001    0.010    0.005 __init__.py:8(<module>)
        1    0.002    0.002    0.005    0.005 __init__.py:80(<module>)
       14    0.000    0.000    0.069    0.005 __init__.py:80(word_tokenize)
        1    0.000    0.000    0.000    0.000 __init__.py:809(StreamHandler)
        1    0.006    0.006    0.006    0.006 __init__.py:84(<module>)
        1    0.006    0.006    0.012    0.012 __init__.py:86(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:880(FileHandler)
        1    0.001    0.001    0.102    0.102 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:944(PlaceHolder)
        7    0.000    0.000    0.000    0.000 __init__.py:950(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:957(append)
        1    0.001    0.001    0.012    0.012 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:991(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:996(__init__)
        2    0.000    0.000    0.000    0.000 _abcoll.py:340(get)
        2    0.000    0.000    0.000    0.000 _abcoll.py:483(update)
        5    0.000    0.000    0.000    0.000 _abcoll.py:97(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections.py:22(RecentlyUsedContainer)
        2    0.000    0.000    0.001    0.000 _collections.py:38(__init__)
        2    0.000    0.000    0.000    0.000 _collections.py:45(__getitem__)
        2    0.000    0.000    0.000    0.000 _collections.py:52(__setitem__)
        1    0.000    0.000    0.001    0.001 _collections.py:7(<module>)
        2    0.000    0.000    0.005    0.002 _collections.py:81(clear)
        1    0.000    0.000    0.000    0.000 _datasource.py:148(DataSource)
        1    0.001    0.001    0.002    0.002 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:47(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:482(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:70(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.001    0.001    0.001    0.001 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:105(SAXNotRecognizedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:115(SAXNotSupportedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:125(SAXReaderNotAvailable)
        1    0.000    0.000    0.000    0.000 _exceptions.py:46(SAXParseException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:9(SAXException)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:334(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:6(PackageLoader)
       40    0.000    0.000    0.001    0.000 _inspect.py:118(getargspec)
